pos	cM
3532526	0.000000
3533229	0.000186
3534231	0.001541
3535643	0.001541
3551002	0.001541
3580516	0.001541
3582267	0.001541
3582957	0.001541
3597466	0.004140
3600335	0.011096
3602680	0.012378
3603837	0.016697
3604116	0.018536
3604131	0.022211
3604629	0.047099
3608220	0.053773
3611876	0.054053
3612748	0.054055
3613849	0.063515
3614834	0.063517
3618098	0.072235
3618994	0.072941
3621029	0.072941
3622486	0.072941
3622833	0.072941
3629711	0.073703
3630255	0.077734
3630285	0.093270
3630297	0.093287
3630710	0.093287
3632030	0.093335
3637491	0.094502
3638521	0.096773
3638866	0.118773
3639920	0.121097
3642745	0.122788
3643053	0.122811
3643555	0.122817
3648890	0.122855
3650337	0.123109
3650653	0.133477
3651304	0.133592
3655844	0.133697
3656756	0.134399
3657277	0.134435
3658092	0.147025
3661816	0.147285
3666447	0.148070
3670539	0.154640
3671048	0.154642
3672051	0.154642
3672982	0.154642
3680100	0.159884
3680594	0.159884
3680653	0.159884
3681220	0.176198
3681270	0.176532
3685094	0.176532
3687930	0.187096
3689348	0.187096
3689703	0.187096
3689744	0.187096
3689804	0.197890
3689810	0.197890
3691513	0.208639
3692241	0.208639
3692263	0.208669
3693703	0.229732
3693872	0.229964
3694013	0.232482
3694215	0.232483
3695276	0.232483
3697266	0.232486
3700091	0.232491
3701483	0.327375
3701618	0.349590
3701976	0.357779
3703869	0.428592
3706741	0.430808
3710386	0.431937
3714927	0.434959
3714990	0.438077
3717490	0.442199
3717498	0.442205
3719908	0.445737
3721628	0.446516
3723444	0.454600
3726720	0.456635
3726779	0.456656
3727136	0.456692
3728422	0.466796
3730245	0.468346
3731861	0.468775
3732218	0.496208
3733925	0.500136
3740843	0.503408
3741163	0.503480
3747163	0.503650
3754431	0.509889
3755926	0.532659
3757256	0.544791
3757380	0.544858
3760275	0.545709
3761026	0.545709
3761959	0.545718
3763329	0.545732
3764350	0.545742
3776134	0.546056
3782282	0.546056
3783685	0.546544
3784512	0.547493
3784632	0.547986
3785937	0.594123
3787157	0.599136
3792628	0.600478
3793380	0.601817
3795124	0.601833
3796601	0.601866
3799660	0.625004
3800265	0.625018
3801875	0.649012
3802225	0.649020
3802455	0.649158
3807360	0.649218
3808325	0.672359
3820264	0.672505
3829718	0.672509
3831318	0.672522
3832494	0.672548
3843114	0.703171
3905081	0.745138
3937738	0.747216
3939678	0.747230
3942291	0.747236
3949878	0.747237
3959655	0.747590
3961515	0.770319
3963049	0.770374
3963324	0.802955
3963594	0.804471
3963746	0.832436
3963903	0.837482
3964199	0.837493
3965888	0.837511
3981550	0.837512
4012737	0.837512
4026361	0.837512
4029456	0.851329
4031354	0.851329
4064233	0.855437
4065709	0.861904
4076467	0.862440
4091446	0.870561
4098441	0.870942
4112308	0.873860
4117086	0.874145
4120061	0.874213
4134502	0.888478
4134831	0.888560
4136214	0.888687
4148702	0.888687
4166847	0.888687
4186201	0.888687
4202648	0.894790
4207476	0.894895
4211757	0.894936
4216648	0.902599
4217933	0.902611
4227112	0.904190
4230660	0.911661
4233009	0.912843
4233045	0.912848
4252856	0.916874
4254986	0.916874
4264052	0.916874
4264367	0.916874
4265348	0.919780
4299727	0.919782
4300998	0.919866
4309986	0.922575
4328079	0.924711
4380230	0.960482
4398508	0.962640
4403737	0.963205
4423082	0.963341
4467928	0.971719
4501665	0.971955
4518009	0.971976
4551757	0.978229
4554901	0.979671
4564625	0.979671
4569022	0.984509
4571939	0.985031
4572821	0.985031
4579983	0.985031
4584371	0.985031
4584856	0.985031
4585098	0.985031
4586229	0.985032
4590491	0.985032
4595736	0.985034
4607857	0.985119
4608740	0.985158
4609500	0.985309
4615803	1.041358
4616431	1.042960
4619160	1.043457
4622653	1.043588
4633337	1.044477
4633629	1.044487
4645581	1.044488
4646360	1.044502
4651367	1.045018
4654161	1.045554
4654738	1.046135
4656230	1.104950
4656644	1.105077
4668071	1.105116
4678097	1.105231
4685887	1.121581
4686599	1.155752
4686839	1.159159
4687896	1.219685
4688720	1.219689
4689454	1.222706
4690479	1.238529
4691232	1.238651
4691554	1.238654
4694187	1.238658
4699526	1.238803
4700782	1.239168
4701041	1.243628
4702006	1.317488
4702307	1.322671
4707548	1.323151
4710118	1.323151
4710875	1.323159
4710959	1.326350
4711977	1.437732
4712238	1.437801
4712576	1.437818
4712720	1.437820
4712895	1.437820
4713213	1.437820
4723975	1.437820
4725060	1.438619
4753268	1.444518
4757981	1.444652
4758474	1.444663
4759511	1.444663
4759526	1.444664
4759611	1.444665
4761176	1.451396
4764770	1.451583
4771769	1.463869
4775711	1.468978
4787683	1.469548
4796326	1.469640
4798978	1.470040
4800596	1.470666
4830956	1.476789
4840945	1.476789
4841534	1.476790
4844263	1.476799
4844363	1.476807
4844421	1.476814
4844555	1.486733
4845327	1.631608
4845895	1.640951
4846273	1.641424
4852958	1.641980
4853480	1.645101
4857078	1.645373
4860347	1.645388
4860942	1.645389
4864577	1.647159
4864635	1.647377
4872888	1.665406
4874020	1.665923
4903288	1.679907
4905793	1.680160
4907452	1.684543
4924150	1.691785
4928828	1.760213
4929503	1.763430
4929612	1.763604
4930149	1.763707
4930153	1.763707
4947777	1.763801
4957436	1.763813
4978398	1.763876
4984257	1.763922
4985030	1.764090
4986171	1.765104
4993635	1.789281
5000647	1.793488
5001556	1.793637
5012226	1.793854
5012760	1.793854
5016891	1.796058
5019318	1.808603
5024196	1.808688
5046901	1.812279
5048535	1.812280
5055455	1.816384
5062010	1.816389
5064909	1.816392
5067678	1.816392
5068317	1.816397
5072265	1.817018
5074912	1.825269
5075587	1.825771
5075732	1.825774
5080398	1.831388
5093699	1.831552
5094812	1.831554
5102772	1.834333
5105950	1.834333
5111686	1.834336
5122825	1.834346
5136063	1.834346
5145566	1.834346
5147607	1.834346
5170875	1.834472
5178274	1.834883
5180380	1.836989
5180692	1.838557
5180708	1.838889
5181463	1.910698
5181612	1.913792
5181918	1.946934
5182378	1.950423
5199353	1.950423
5201235	1.950423
5210461	1.950423
5234096	1.950423
5236288	1.950424
5236908	1.950424
5239638	1.950424
5239910	1.950603
5248844	1.950759
5250948	1.950999
5256653	1.953313
